devicename	Time	iOSApp State	iC3 Zone	Interval	Travel Time	Distance	Text
Tracked Devices: ['richards_iphone', 'richards_ipad', 'richards_apple_watch']
Log Update Time: Sat, 07/02, 09:27:36
-- sys event --	9:19:14p	-	-	-	-	-	Service Call Command Received > `restart`
-- sys event --	9:19:14p	-	-	-	-	-	Initializing iCloud3 v2.4.7 > Saturday, Jul 02
-- sys event --	9:19:14p	-	-	-	-	-	Event Log Version Check > Current release is being used. Version-2.4.0 (4/8/2021), /config/www/custom_cards
-- sys event --	9:19:18p	-	-	-	-	-	iCloud3 Directory > /config/custom_components/icloud3
-- sys event --	9:19:18p	-	-	-	-	-	iCloud3 Configuration File > /config/config_ic3.yaml
-- sys event --	9:19:18p	-	-	-	-	-	Stage 1 > Prepare iCloud3 for richard@ohheyrj.co.uk
-- sys event --	9:19:18p	-	-	-	-	-	inZone Intervals > inzone_interval-2 hrs, 
-- sys event --	9:19:18p	-	-	-	-	-	Set up Zones (zone/name) > , • gym/Gym (r45m), • mum_dad/MumDad (r45m), • project_strength_fitness/ProjectStrengthFitness (r45m), • work/Work (r45m), • home/Home (r100m), • richards_iphone_stationary/stationary (r1m), • richards_ipad_stationary/stationary (r1m), • richards_apple_watch_stationary/stationary (r1m)
-- sys event --	9:19:18p	-	-	-	-	-	Set Initial Stationary Zone Location > GPS-(55.96416, -3.156424), Radius-100m, DistFromHome-1.0km
-- sys event --	9:19:18p	-	-	-	-	-	Set Up Waze > Region-US, MinDist-1 mi (1.61km), MaxDist-1000 mi (1609.35km), Realtime-False
-- sys event --	9:19:18p	-	-	-	-	-	Stage 2 > Set up tracked device parameters
-- sys event --	9:19:18p	-	-	-	-	-	Decoding ... Config Devices Parameter >, ✓ richards_iphone > Name-Richards, Type-iPhone, inZoneInterval-2 hrs
-- sys event --	9:19:18p	-	-	-	-	-	Decoding ... Config Devices Parameter >, ✓ richards_ipad > Name-Richards, Type-iPad, inZoneInterval-2 hrs
-- sys event --	9:19:18p	-	-	-	-	-	Decoding ... Config Devices Parameter >, ✓ richards_apple_watch > Name-Richardsapple, Type-Watch, inZoneInterval-2 hrs, iOSApp-NotUsed, 
-- sys event --	9:19:18p	-	-	-	-	-	Stage 2a > Authenticate iCloud Account, List Trackable Devices
-- sys event --	9:19:18p	-	-	-	-	-	iCloud Web Services interface (pyicloud_ic3.py) > Verified
-- sys event --	9:19:22p	-	-	-	-	-	iCloud3 Alert > 2fa Verification Required
-- sys event --	9:19:22p	-	-	-	-	-	Service Call Command Received > `pause`
-- sys event --	9:19:22p	-	-	-	-	-	iCloud3 Command Processed > Device-All, Command-pause 
-- sys event --	9:19:23p	-	-	-	-	-	2fa1.10 Completed HA Notification Window Release (id-547866315072-1)
-- sys event --	9:19:23p	-	-	-	-	-	2fa1.1 Requesting New HA Notification Window
-- sys event --	9:19:23p	-	-	-	-	-	2fa1.2 Completed New HA Notification Window Request
-- sys event --	9:19:23p	-	-	-	-	-	iCloud Account Authenticated (#1) > LastAuth-Never (Initializing), Method-Account/PasswordSignin
-- sys event --	9:19:24p	-	-	-	-	-	Family Sharing List devices that can be tracked >, • richards_airpods_pro > Richard’s AirPods Pro, Accessory, ✓ richards_ipad > Richard’s iPad, iPad, ✓ richards_apple_watch > Richard’s Apple Watch, Watch, • richards_macbook_pro > Richard’s MacBook Pro, MacBookPro, ✓ richards_iphone > Richard’s iPhone, iPhone
-- sys event --	9:19:24p	-	-	-	-	-	iCloud Alert > FmF or FamShr Tracking Method is disabled until Verification has been completed. iOS App Trackimg Method wil be used.
-- sys event --	9:19:24p	-	-	-	-	-	Stage 2b > Setup iOS App Tracking Method
-- sys event --	9:19:24p	-	-	-	-	-	Verified Device for iOS App Tracking > , • richards_iphone: True, •  richards_ipad: True, •  richards_apple_watch: True
-- sys event --	9:19:24p	-	-	-	-	-	Stage 3 > Identify iOS App entities, Verify tracked devices
-- sys event --	9:19:24p	-	-	-	-	-	Entity Registry mobile_app device_tracker. entities found >, • richards_ipad_app (Richard’s iPad), • richards_iphone_app (Richard’s iPhone), • richards_macbook_pro_app (Richard’s MacBook Pro)
-- sys event --	9:19:24p	-	-	-	-	-	7379 notify_devicenames=[`mobile_app_richards_ipad`, `mobile_app_richards_iphone`, `mobile_app_richards_macbook_pro`]
-- sys event --	9:19:24p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_ipad` notify_devicename_list=[]
-- sys event --	9:19:24p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_iphone` notify_devicename_list=[`richards_iphone`]
-- sys event --	9:19:24p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_macbook_pro` notify_devicename_list=[`richards_iphone`]
-- sys event --	9:19:24p	-	-	-	-	-	7390 self.device_tracker_entity_iosapp={`richards_iphone`: `device_tracker.richards_iphone_app`}
-- sys event --	9:19:24p	-	-	-	-	-	7390 self.notify_iosapp_entity={`richards_iphone`: [`richards_iphone`]}
-- sys event --	9:19:24p	-	-	-	-	-	Verified Device > Richards (richards_iphone)
-- sys event --	9:19:24p	-	-	-	-	-	iOS App monitored > Richards (richards_iphone) >, • device_tracker.richards_iphone_app, • sensor.richards_iphone_last_update_trigger
-- sys event --	9:19:24p	-	-	-	-	-	iOS App location requests sent to > Richards (richards_iphone) > , • richards_iphone
-- sys event --	9:19:24p	-	-	-	-	-	1290 richards_iphone self.notify_iosapp_entity={`richards_iphone`: [`richards_iphone`]}
-- sys event --	9:19:24p	-	-	-	-	-	7379 notify_devicenames=[`mobile_app_richards_ipad`, `mobile_app_richards_iphone`, `mobile_app_richards_macbook_pro`]
-- sys event --	9:19:24p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_ipad` notify_devicename_list=[`richards_ipad`]
-- sys event --	9:19:24p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_iphone` notify_devicename_list=[`richards_ipad`]
-- sys event --	9:19:24p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_macbook_pro` notify_devicename_list=[`richards_ipad`]
-- sys event --	9:19:24p	-	-	-	-	-	7390 self.device_tracker_entity_iosapp={`richards_iphone`: `device_tracker.richards_iphone_app`, `richards_ipad`: `device_tracker.richards_ipad_app`}
-- sys event --	9:19:24p	-	-	-	-	-	7390 self.notify_iosapp_entity={`richards_iphone`: [`richards_iphone`], `richards_ipad`: [`richards_ipad`]}
-- sys event --	9:19:24p	-	-	-	-	-	Verified Device > Richards (richards_ipad)
-- sys event --	9:19:24p	-	-	-	-	-	iOS App monitored > Richards (richards_ipad) >, • device_tracker.richards_ipad_app, • sensor.richards_ipad_last_update_trigger
-- sys event --	9:19:24p	-	-	-	-	-	iOS App location requests sent to > Richards (richards_ipad) > , • richards_ipad
-- sys event --	9:19:24p	-	-	-	-	-	1290 richards_ipad self.notify_iosapp_entity={`richards_iphone`: [`richards_iphone`], `richards_ipad`: [`richards_ipad`]}
-- sys event --	9:19:24p	-	-	-	-	-	Verified Device > Richardsapple (richards_apple_watch)
-- sys event --	9:19:24p	-	-	-	-	-	iOS App not monitored > Richardsapple (richards_apple_watch)
-- sys event --	9:19:24p	-	-	-	-	-	Tracking Devices > , • richards_iphone > Richards, iOSAppSuffix-_app, TrkMethod-iOSApp, • richards_ipad > Richards, iOSAppSuffix-_app, TrkMethod-iOSApp, • richards_apple_watch > Richardsapple, iOSApp-NotMonitored, TrkMethod-iOSApp
-- sys event --	9:19:24p	-	-	-	-	-	Stage 4 > Configure tracked devices
-- sys event --	9:19:25p	-	-	-	-	-	Configuring Device > Richards (richards_iphone), • Initialize Tracking Fields, • Initialize Zones, • Initialize Stationary Zone > richards_iphone_stationary, • Update HA Device Entities
-- sys event --	9:19:26p	-	-	-	-	-	Configuring Device > Richards (richards_ipad), • Initialize Tracking Fields, • Initialize Zones, • Initialize Stationary Zone > richards_ipad_stationary, • Update HA Device Entities
-- sys event --	9:19:27p	-	-	-	-	-	Configuring Device > Richardsapple (richards_apple_watch), • Initialize Tracking Fields, • Initialize Zones, • Initialize Stationary Zone > richards_apple_watch_stationary, • Update HA Device Entities
-- sys event --	9:19:27p	-	-	-	-	-	Initialize Event Log Sensor
-- sys event --	9:19:27p	-	-	-	-	-	Initializing iCloud3 v2.4.7 > Complete, Took 12.97 sec
-- sys event --	9:24:43p	-	-	-	-	-	Initializing iCloud3 v2.4.7 > Saturday, Jul 02
-- sys event --	9:24:43p	-	-	-	-	-	Event Log Version Check > Current release is being used. Version-2.4.0 (4/8/2021), /config/www/custom_cards
-- sys event --	9:24:46p	-	-	-	-	-	iCloud3 Directory > /config/custom_components/icloud3
-- sys event --	9:24:46p	-	-	-	-	-	iCloud3 Configuration File > /config/config_ic3.yaml
-- sys event --	9:24:46p	-	-	-	-	-	Stage 1 > Prepare iCloud3 for richard@ohheyrj.co.uk
-- sys event --	9:24:46p	-	-	-	-	-	inZone Intervals > inzone_interval-2 hrs, 
-- sys event --	9:24:46p	-	-	-	-	-	Set up Zones (zone/name) > , • home/Home (r100m), • richards_iphone_stationary/stationary (r1m), • richards_ipad_stationary/stationary (r1m), • richards_apple_watch_stationary/stationary (r1m), • gym/Gym (r45m), • mum_dad/MumDad (r45m), • project_strength_fitness/ProjectStrengthFitness (r45m), • work/Work (r45m)
-- sys event --	9:24:46p	-	-	-	-	-	Set Initial Stationary Zone Location > GPS-(55.96416, -3.156424), Radius-100m, DistFromHome-1.0km
